Unnamed: 0,input_experience,job_description,model,backend,prompt_path,output_experience,duration_seconds,pred_factual_accuracy,pred_alignment,pred_section_length,pred_grammar,pred_justification
0,"Helps to develop policies, directs and coordinates activities such as employment, compensation, labor relations, benefits, training, and employee services.\n - Prepares employee separation notices and related documentation\n - Keeps records of benefits plans participation such as insurance and pension plan, personnel transactions such as hires, promotions, transfers, performance reviews, and terminations, and employee statistics for government reporting.\n - Advises management in appropriate resolution of employee relations issues.\n - Administers benefits programs such as life, health, dental, insurance, pension plans, vacation, sick leave, leave of absence, and employee assistance.","Sr. HR Admin Executive is a skilled HR professional responsible for managing the administrative aspects of HR operations, ensuring compliance, and supporting HR initiatives. This role often involves managing employee records, processing payroll, handling benefits, and assisting with recruitment. They also play a crucial role in maintaining a positive and productive work environment. Here's a more detailed look at the responsibilities: Key Responsibilities:Recruitment and Hiring:
Source, screen, and interview candidates for open positions. 

Manage the onboarding process for new hires. Administrative Tasks:
Maintaining employee records and files.
Managing payroll and benefits administration.
Ensuring compliance with relevant labor laws and regulations.
Handling administrative tasks related to onboarding, offboarding, and employee transfers.
HR Support:
Assisting with recruitment processes, including sourcing and screening candidates.
Providing support to HR initiatives and projects.
Resolving employee queries and concerns.
Compliance and Reporting:
Ensuring adherence to HR policies and procedures.
Preparing reports and presentations on HR data.
Liaising with external vendors and government agencies.
Skills and Qualifications:

Experience: 5+ years of experience in HR administration roles.
Knowledge: Strong understanding of HR policies, procedures, and relevant labor laws.
Technical Skills: Proficiency in HRIS systems and Microsoft Office Suite.
Communication and Interpersonal Skills: Ability to communicate effectively with employees, managers, and external parties.",gemini-2.0-flash,gemini,./inference/prompts.yaml,"- Administered employee lifecycle processes, including onboarding, offboarding, and benefits enrollment, ensuring compliance with labor laws and company policies.
- Managed employee records, HRIS data, and prepared reports on key HR metrics, supporting data-driven decision-making and compliance reporting.
- Supported recruitment efforts by screening candidates, scheduling interviews, and assisting with new hire onboarding, contributing to a positive employee experience.
",2.2621443271636963,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section is well-aligned with the job description, directly addressing key responsibilities such as recruitment support, employee record management, and compliance. It emphasizes relevant skills and experiences that match the requirements outlined in the job description.', 'factual_accuracy': 'The improved section accurately reflects the responsibilities and tasks described in the original section, maintaining truthfulness and credibility. It builds upon the original content without introducing inaccuracies or exaggerations.', 'grammar': 'The improved section demonstrates excellent grammar, spelling, and formatting, presenting the content clearly and professionally. The language is concise and impactful, enhancing readability and overall presentation.', 'section_length': 'Optimal'}"
1,"Familiarized with & utilized ASME Engineering Design, Drafting & Documentation Standards Provided support to the engineering team in developing conceptual layout drawings and performed various engineering studies to obtain the simplest and the most e ficient engineering solution for Pressure Vessel design and piping design and specification Developed drawings, schematics and P&ID's using AutoCAD Mechanical and Microstation according to ANSI Document Control & Management System for electronic as wel as hard copy documents- Coordinated the organizing, scanning, retrieval and distribution of engineering documents for Project Managers.","About The Role  
This role involves the development and application of engineering practice and knowledge in the following technologiesDesign of mechanical systems, devices, equipment and machines; installing and maintaining mechanically functioning equipment; simulating a wide range of interactions and evaluate performance in real world scenarios; and develop prototype for manufacturability, testing and validation.

 About The Role - Grade Specific 
Focus on Mechanical Physical Engineering. Develops competency in own area of expertise. Shares expertise and provides guidance and support to others. Interprets clients needs. Completes own role independently or with minimum supervision. Identifies problems and relevant issues in straight forward situations and generates solutions. Contributes in teamwork and interacts with customers.

 Skills (competencies) 

Active Listening
Adaptability
Analytical Thinking
CAD & Digital Twin DesignGenerative Design & Additive Manufacturing
Collaboration
Material Science and Recycling Process
Material ScienceMetals, Composite, Surface and Nanomaterials
Problem Solving
Product Digital DesignAutoCAD
Product Digital DesignAutodesk Fusion 360
Product Digital DesignCATIA V5
Project Management
Project Planning
Projects & QCT Management, Supplier Management
Rapid DynamicsCrash and Vulnerability
Risk Management
Scope Management
Specification and Requirements Management
Stakeholder Management
Static Stress Analysis
Static StressPhysics & Simulation Science
Strategic Thinking
Sustainability-Electrification
Sustainability-Green Hydrogen
Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, generative AI, cloud and data, combined with its deep industry expertise and partner ecosystem.",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Applied engineering principles and CAD software (AutoCAD Mechanical, Microstation) to develop mechanical system designs, drawings, schematics, and P&IDs, adhering to ASME and ANSI standards.
*   Supported engineering projects by contributing to conceptual layouts, conducting engineering studies for efficient pressure vessel and piping designs, and managing engineering documents within ANSI-compliant systems.
",1.0097782611846924,Factual,Neutral,Optimal,Polished,"{'alignment': ""The improved section mentions CAD software and design principles, which align with the job description's emphasis on mechanical systems design and CAD skills (AutoCAD). However, it doesn't strongly emphasize other key skills mentioned in the job description, such as generative design, additive manufacturing, or material science."", 'factual_accuracy': 'The improved section accurately reflects the experiences and skills mentioned in the original section, such as using CAD software and adhering to ASME and ANSI standards. There are no exaggerations or deceptive claims.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. The language is clear, concise, and professional.', 'section_length': 'Optimal'}"
2,"Supervisor: Tom Mosca, VP Manufacturing Manager of tool room, tool service, and punch manufacturing departments Manager of engineering, drafting, CNC programming, and lean/continuous improvement Engineering support for supervisors and shop floor with emphasis on problem solving Research, planning and execution of capital projects Design and engineering calculations for custom architectural products and fabrications Cost estimating of fabricating work and architectural projects Design and develop perforating punch tooling CNC programming of Whitney punch/plasma CNC programming of Trumpf press brake Research and implement new manufacturing processes Train employees in the operation of new equipment and new manufacturing processes Lead research and development e forts for high precision products Assist outside sales with customer visits and technical proposals Provide technical support to inside customer service and interact with customers Work with customers and outside tooling vendors to design automotive stamping dies Support for maintenance and operation of perforating, stamping, and throat presses","We are currently looking for a talented and experienced CNC/VMC Programmer to join our manufacturing division. The ideal candidate should have a solid background in CNC/VMC programming, tool offsetting, and machine maintenance. This is an excellent opportunity for someone who thrives in a fast-paced, technical environment.


Key Responsibilities:

Develop and optimize CNC/VMC programs according to engineering drawings.
Perform tool offsetting and setup adjustments for accurate machining.
Modify and correct existing programs based on production or quality requirements.
Handle new part development and create programs from scratch.
Troubleshoot and resolve quality issues by adjusting programs accordingly.
Carry out minor maintenance tasks on CNC/VMC machines as required.
Work closely with the production and quality teams to meet project deadlines.
Possess in-depth knowledge of tooling and tool development per job specifications.

Required Skills & Qualifications:

Diploma/ITI in Mechanical or related field.
2-5 years of hands-on experience in CNC/VMC programming and operations.
Excellent knowledge of G-code/M-code, tool selection, and machine setup.
Ability to read and interpret technical drawings and engineering blueprints.
Practical experience in handling quality-related corrections in programs.
Basic maintenance skills for CNC/VMC machines.
Good problem-solving skills and attention to detail.

What We Offer:

Competitive salary based on experience
Performance-based incentives
Opportunities for training and skill development
Supportive work environment
Job stability with a growing company",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Developed and optimized CNC programs for VMC machines, ensuring accuracy through tool offsetting and setup adjustments, aligning with engineering drawings and project deadlines.
*   Modified and corrected existing CNC programs to resolve quality issues and meet production requirements, while also performing basic maintenance on CNC/VMC machines.
*   Created new CNC programs for part development from scratch, utilizing in-depth knowledge of tooling and G-code/M-code, and collaborated with production and quality teams to achieve project goals.
",1.1861426830291748,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section is well-aligned with the job description. It highlights CNC/VMC programming, tool offsetting, program modification, new part development, and basic machine maintenance, all of which are key responsibilities and required skills mentioned in the job description.', 'factual_accuracy': ""The improved section accurately reflects the skills and experiences described in the original section, such as CNC programming and problem-solving, without exaggerating or misrepresenting the candidate's abilities."", 'grammar': ""The improved section is well-written with excellent grammar, spelling, and formatting. It uses clear and concise language to present the candidate's qualifications in a professional manner."", 'section_length': 'Optimal'}"
3,"Talented media planner o fering exceptional strengths in executing paid digital media campaigns and ensuring content is delivered to the right
 audience segments. Detail-oriented and highly organized with track record of exceeding clients expected key performance metrics by constantly
 analyzing results and implementing digital media best practices.Â 
Skils
 Google Search, Display, Mobile, Video Campaigns.Â 
Google Analytics measurement, Report & Tracking.Â 
Facebook Business Manager, Ads Manager & Power Editor.Â 
Creative & Professional Copy writing.Â ","As the Assistant Manager, Media Activation at adidas, you will play a key role in driving growth through paid and non-paid media channels with a strong focus on performance marketing. You will work cross-functionally with teams such as E-commerce, Traffic, Analytics, Products, Merchandising, and Retail to ensure a data-driven and results-oriented approach to media activation. Additionally, you will collaborate with our media agency partner, Mediacom, to develop and optimize high-performing media strategies that maximize Return on Investment (ROI) and Return on Advertising Spend (ROAS).



Roles and Responsibilities

Lead the creation, execution, and optimization of performance-driven paid and non-paid media strategies across various channels.
Work closely with internal teams to align media strategies with business objectives and drive measurable growth.
Foster strong relationships with key stakeholders to ensure successful campaign implementation and performance tracking.
Manage and oversee the relationship with Mediacom, ensuring the execution of high-impact paid media campaigns in line with business goals.
Define annual media targets in collaboration with the agency and adidas hub teams, developing monthly data-driven strategies to achieve performance goals.
Continuously monitor, analyze, and optimize media performance using data-driven insights to maximize efficiency and effectiveness.
Develop comprehensive performance reports and dashboards that provide stakeholders with clear insights into campaign performance, operational efficiency, and business impact.
Stay ahead of emerging trends in performance marketing, identifying new opportunities for optimization and innovation.
Collaborate with creative teams to test and refine media assets for improved engagement and conversion rates.
Plan and execute campaigns with a strong focus on Cost per Acquisition (CPA), ROI, and overall revenue growth.


Qualifications

Minimum 4 years of core experience in performance marketing within a media agency or brand-side marketing team.
Proven expertise in managing paid and non-paid media channels, including social, SEM, display, and programmatic advertising.
Hands-on experience working with media agencies to drive performance-based campaign success.
Strong analytical skills with experience in data modeling, audience segmentation, and attribution analysis.
Ability to scale and optimize media campaigns with a focus on achieving ROI, ROAS, and efficiency metrics.
Experience in setting and achieving annual performance marketing targets and creating monthly strategic plans in collaboration with agencies and internal teams.
Proficiency in performance marketing platforms, including Facebook Ads Manager, Google Ads, Adobe Analytics, Appsflyer, and Amplitude.
Exceptional communication and presentation skills, with the ability to translate complex data into actionable insights.
Strong project management skills, with the ability to prioritize and execute multiple campaigns simultaneously.
A creative and critical thinker who can proactively identify growth opportunities and implement performance-driven solutions.
Bachelor’s degree in Marketing, Business, or a related field.


Key Skills

Core Performance Marketing Expertise
Digital Marketing & Growth Strategy
Paid Media Strategy & Execution
Competitive Analysis & Market Research
Media Planning & Buying
PPC & Display Advertising
Marketing Automation & Optimization
Data-Driven Campaign Analysis & Reporting
Strong Interpersonal & Collaboration Skills


Additional Notes:

Experience managing large-scale performance marketing campaigns in an e-commerce environment.
Hands-on experience with marketplace advertising (Flipkart, Myntra, Amazon, etc.).
Experience working with D2C brands and media agencies is highly preferred.
India-focused role, requiring expertise in India's digital advertising landscape.",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*  Executed paid digital media campaigns across Google Ads and Facebook Ads Manager, leveraging data-driven insights from Google Analytics to optimize performance and exceed client KPI expectations.
*  Developed and implemented audience segmentation strategies and A/B tested ad creatives, resulting in improved engagement and conversion rates while adhering to digital media best practices.
",1.1105551719665527,Factual,Neutral,Too Short,Polished,"{'alignment': ""The improved section mentions Google Ads and Facebook Ads Manager, which aligns with the job description's requirement of proficiency in performance marketing platforms. However, it lacks specific details on how these skills were applied to drive ROI or ROAS, which are key metrics mentioned in the job description. It also misses showcasing experience with other channels like SEM, display, or programmatic advertising."", 'factual_accuracy': 'The improved section accurately reflects the skills and experiences mentioned in the original section, such as executing paid digital media campaigns, using Google Analytics, and optimizing performance. There are no exaggerations or deceptive claims.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. It uses clear and concise language to present the information professionally.', 'section_length': 'Too Short'}"
4," Presented local weather news and feature reports in the public radio style on both local and national weather news programs.
 Introduced fresh and new angles on previously-reported material to update and inform the audience.
 Combined video, audio and graphics to e fectively convey each report and forecast.
 Efectively explained the hazards and vulnerabilities that the people could expect and confront in some dangerous weather conditions.","Join our experienced news and weather team in a unique, exciting on-air newsroom position. This is the perfect job for someone who loves telling the weather story to viewers and wants to go beyond traditional weather graphics to tell stories about how the weather impacts our viewers’ lives. You’ll deliver impactful weather forecasts for our evening weekend newscasts. You’ll also report on news and weather-related events on days when you’re not forecasting the weather. Located in the Inland Northwest, Spokane has the benefit of four distinct seasons, with plenty of forecasting to keep things interesting. You’ll forecast the weather on TV, streaming and digital platforms. Work alongside our team of dedicated, award-winning journalists in a competitive news market. Spokane is a fantastic, up-and-coming city with plenty of outdoor recreation to explore. You’ll also enjoy working for a family-owned company in a city where even the longest commute to work takes less than 20 minutes.

What you’ll do:

Prepare and deliver weather forecasts utilizing all available weather data and graphics computers
Report and produce weather forecasts for multiple platforms
Participate in live weather coverage when appropriate, along with representing the station at community events
Report and produce news segments that may or may not be weather-related
What you’ll bring:

4 year degree or equivalent work experience
Bachelor’s degree in journalism, meteorology or related field preferred
2+ years of experience as a weather forecaster preferred
Experience with Baron Weather System preferred
Experience and interest in working with multiple social media platforms
What 4 News Now offers:

A supportive, fast-paced, innovative news experience
We’re a dynamic and progressive family-owned business that values our employees, our culture and our community
We are a team of talented and creative professionals. Who wouldn’t want to work with the best in the business?
Pay range: $45,000/year – $50,000/year
Mentoring and training programs to promote success in your role
Medical, dental, vision, prescription, life and long-term disability insurance, EAP, flexible spending account, 401(k), paid time off including vacation, sick, personal days and holidays",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Delivered impactful weather forecasts and news reports on local and national weather news programs, emphasizing the impact of weather on viewers' lives.
*   Utilized video, audio, and graphics to produce weather forecasts and news segments for multiple platforms, including TV, streaming, and digital.
*   Explained weather hazards and vulnerabilities to inform the audience and provided updates on previously reported material with fresh perspectives.
",1.002655029296875,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section is well-aligned with the job description. It highlights the ability to deliver impactful weather forecasts, produce content for multiple platforms, and explain weather impacts, all of which are key requirements of the role.', 'factual_accuracy': ""The improved section accurately reflects the skills and experiences described in the original section. It emphasizes the candidate's ability to deliver weather forecasts and news reports, utilize multimedia tools, and explain weather hazards, all of which are supported by the original content."", 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. The language is clear, concise, and professional, enhancing the overall readability and impact of the resume.', 'section_length': 'Optimal'}"
5,"Responsible for planning, optimizing, implementing and analyzing natural and paid search engine marketing activities; aligning top-to-bo tom
 management of our pay-per-click (PPC) and search engine optimization (SEO) activities.
 Manage a team of 5 employees.
 Develop and maximize the sales funnel process from audience to acquisition to grow revenue.
 Drive sustainable revenue growth trajectory and ensures positive return on investment while keeping an eye on managing above and below
 the line performance goals Execute integrated marketing plans to build brand awareness and acquire new customers using digital marketing.
 Help drive overal Content Marketing strategy for Lead Gen Programs.
 Influence Social Media Marketing Strategies to help generate ROI through al channels.
 Measure, test and optimize acquisition campaigns to drive new revenue, ensure acceptable ROI, conversion and lifetime value metrics.
 Responsible for al budget management associated with SEM.
 Manages al relationships with external vendors.
 Provide digital marketing thought leadership to organization.
 Stay current on research and emerging trends - clearly communicating an impact of changes and new developments.
 Develop and facilitate training sessions to grow knowledge across SEO, PPC and Digital Marketing Develop best practice guides around
 SEM.
 Develop and implement process guidelines across Global Marketing Organization","The Digital Marketing Manager will lead the planning and execution of digital campaigns to strengthen brand awareness, support product launches, and generate qualified leads. This role involves content coordination, SEO, social media marketing, and analytics-driven decision-making, specifically tailored for B2B and healthcare markets.


Key Responsibilities:

Plan and execute digital marketing campaigns (SEO, SEM, social media, email, etc.)
Manage the company website, ensure regular updates, and optimize for search performance
Handle social media strategy and execution across LinkedIn, Facebook, and Instagram
Create and coordinate content for online brochures, posts, videos, and emailers
Set up and monitor Google Ads and LinkedIn campaigns
Analyze campaign metrics and generate monthly reports using Google Analytics and other tools
Coordinate with product and sales teams to align messaging
Maintain digital brand consistency and manage vendor interactions (if any)
Track and report ROI for all marketing activities
Assist in online listings, webinar promotions, and distributor portal updates
Key Requirements:

Bachelors or Masters in Marketing, Communications, Digital Media, or a related field
2 to 5 years of hands-on digital marketing experience, ideally in B2B or healthcare
Proficiency in SEO/SEM, Google Ads, Google Analytics, and social media platforms
Strong understanding of content marketing and campaign planning
Working knowledge of CMS platforms (WordPress preferred)
Experience with email tools like Mailchimp or Zoho Campaigns
Good communication skills and eye for detail",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Spearheaded the planning, execution, and analysis of SEO/SEM strategies, including Google Ads and LinkedIn campaigns, resulting in a measurable ROI and enhanced brand awareness.
*   Developed and optimized content marketing strategies and social media initiatives across platforms like LinkedIn, Facebook, and Instagram to drive lead generation and support product launches in alignment with B2B and healthcare market needs.
",1.1796519756317139,Factual,Well Aligned,Optimal,Polished,"{'alignment': ""The improved section is well-aligned with the job description, highlighting SEO/SEM strategies, content marketing, and social media initiatives, all relevant to the role's key responsibilities in B2B and healthcare markets."", 'factual_accuracy': ""The improved section accurately reflects the original section, truthfully representing the candidate's responsibilities and achievements without exaggerations."", 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': 'Optimal'}"
6,"State Domestic Violence Counselor Advocate The nonprofit organization that I work for has had a contract with the Department of Children and Family Services of San Bernardino County since 2010 to provide Domestic Violence counseling, education, advocacy and support for their sta f and clients at their Eastern o fice. I work onsite at the county o fice Monday through Friday 8am to 5pm and provide the folow Duties; crisis intervention, trauma informed care, preventative services, and support services to victims of domestic violence; their families, as wel as CFS sta f. Services include assessing victims for danger, safety planning, assisting victims to get into emergency shelter, providing weekly domestic violence education classes and groups, accompany and advocate for clients at the Juvenile Dependency and or superior court, as wel as linking victims up with additional resources in their community. How I provide support services to the department sta f is by atend daily RAM's (Risk Assessment Meetings). These are meetings where the social workers and I provide the information colected from the family and present them to CFS social workers, supervisors and management regarding which key factors are present, which are not, assessing the degree of risk in a family and if the family has a plan, support system and the likelihood of future maltreatment to a child or adolescent. I wil also a tend TDM's (Team Decision Making meetings) a Team Decision Making meeting is a colaborative process designed to produce the best joint decision concerning the family, the child's safety and placement, with contributions from: Children, Family, CFS sta f, family members/parents, the child (when appropriate), community partners, service providers, foster parents, family's support networks, and other supports as invited.Â I folow-up and documented the outcome of each referral til services are completed and cases are closed. I also present yearly workshops and training for CFS sta f, new hires and interns regarding domestic violence. I also continuously develop and provide brochures, writen material and the latest information to raise the awareness of domestic violence. Part of my regular o fice duties includes completing a daily service log, daily case notes, new client intakes, preparing referral outcome reports and le ters for the department or court and monthly summary reports.","Domestic Violence Mental Health Advocates are responsible for engaging individuals impacted by domestic violence and provide case management services to individuals and families.

Main Duties & Responsibilites

Provide Mobile Response services to victim within 24 hours
Schedule and Conduct regular appointments with clients
Able to case management services to link and refer client to supportive services
Establish positive and trusting relationships with clients
Provide advocacy and guidance to appropriately address client needs
Continually assess client situations and provide the proper ongoing services
Educate and involve family members or other loved ones when necessary
Collaborate with outside agencies, as necessary, to ensure continuity of care
Record and maintain adequate documentation (progress notes, action plans, etc.)
Maintain neat and organized client files and workspace
When required, refer clients to outside sources or agencies that can better address their specific needs
Maintain the strictest confidentiality of each client
Participate in mental health related trainings and attend community meetings as needed
Maintain a positive rapport with community stakeholders and residents
Participate in weekly supervision and staff meetings
Assist with outreach efforts

Other Requirements

Minimum of an Associate degree in human services or other related field
Minimum of one-year experience working in the human services or counseling field
Computer literate and proficient in using applicable software

Other Skills

Excellent interpersonal communication skills with the ability to actively listen
Solid relationship-building capabilities
Good verbal and written communication skills
A positive and compassionate attitude
Keen attention to detail
Ability to effectively manage time and prioritize needs
Willingness to stay updated on new certifications and regulations within the field
Ability to work independently or as part of a team
Able to maintain a flexible schedule",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Provided comprehensive case management services, including crisis intervention, trauma-informed care, and safety planning, to domestic violence victims and their families, resulting in improved client well-being and access to emergency shelter.
*   Collaborated with the Department of Children and Family Services (DCFS) staff, community partners, and other stakeholders in Risk Assessment Meetings (RAMs) and Team Decision Making (TDM) meetings to assess risk factors, develop safety plans, and ensure continuity of care for clients, while maintaining detailed documentation of client progress and outcomes.
",1.1807470321655273,Factual,Neutral,Optimal,Polished,"{'alignment': ""The improved section mentions case management and collaboration, which align with the job description's emphasis on case management services and collaboration with outside agencies. However, it does not explicitly highlight other key responsibilities mentioned in the job description, such as mobile response services or maintaining client files."", 'factual_accuracy': 'The improved section accurately reflects the responsibilities and tasks described in the original section, such as providing case management services, participating in meetings, and ensuring continuity of care for clients.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': 'Optimal'}"
7,"Primarily, design new speculative advertising and/or enhance existing campaigns for smal to mid-size business clients for publication in
 directories, magazines, mobile apps and direct mailers
Verbal/writen communication with clients, media consultants to present and/or springboard design idea
 Routinely support Marketing and Sales division by creating colateral and training material; such as, posters, presentations, invitations, photography, awards and handouts
 Utilize LiveMeeting and Webcast toÂ brainstorm, present or troubleshoot any design issues with sta f and/or clients","Qualification: BA, B. Com, BCA, BBA, Any graduate
Key Skills: Photoshop, Illustrator, Corel Draw, etc.
Experience: Min 2 yrs. of relevant experience is a must
Responsibilities:
Includes designing & conceptualizing images for Facebook, Twitter, Instagram & mobile app
marketing. Implementing those into graphic assets for the campaign
Have hands on creative work experience in designing artworks digital media & print media
images like. Banner, Social media banner, Logos, leaflet, brochure, magazine, corporate ppt, etc.
Ensure a consistent visual brand experience across all touch points both digital & print media
Set-up and manage an asset database/library of graphic files
Can design Images, Infographics, clipart & small Facebook videos
Graphic design expert in Adobe Creative Suite (Photoshop, Illustrator), Corel draw, etc.
Strong verbal and written communication skills
High-level of self-motivation, innovation, creativity and imagination
Ability to work effectively in teams as well as independently
Positive attitude and passion for learning
Desired Skills and Experience
Experience in designing creative for Facebook/ twitter/ Mobile app marketing campaign, etc.
Experience with Photoshop, Corel Draw, Illustrator, etc.
Person has to be polite & with very good communication skills.
Person has to be aggressive with his attitude & able to handle work pressure.
Experience in content strategy, reading, writing & creative.
Should have Laptop & WIFI.",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Designed and conceptualized images for advertising campaigns across directories, magazines, mobile apps, and direct mailers, aligning with visual brand standards.
*   Communicated with clients and media consultants to present design ideas and supported the marketing and sales division by creating collateral, training materials, and presentations.
",0.937171459197998,Factual,Neutral,Too Short,Polished,"{'alignment': ""The improved section mentions designing images for advertising campaigns, which aligns with the job description's requirement for designing images for digital and print media. However, it lacks specific details about designing for Facebook, Twitter, Instagram, or mobile app marketing, and doesn't highlight experience with Photoshop, Illustrator, or Corel Draw, making the alignment only neutral."", 'factual_accuracy': 'The improved section accurately reflects the responsibilities and tasks described in the original section, such as designing advertising and communicating with clients. No new information has been added, so it is factual.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': 'Too Short'}"
8,"Currently working as a freelancer to redesign websites for my own clients and customers.
 The process involved working with the client during al stages of development:.
 Discussed requirements, documentation, and business needs regarding the design of the site.
 Created mockups to get client approval before starting the coding.
 Worked with the client throughout the testing stages to make sure they were happy.
 Delivered the final website within the client's budget and the quoted timeframe.
 Used: C#, ASP.Net, HTML5, CSS3, Javascript, JQuery, mySQL, Adobe Design Suite.","Designer to join our dynamic team and embark on a rewarding career journey.
Conceptualizing creative ideas with clients.
Testing and improving the design of the website.
Establishing design guidelines, standards, and best practices.
Maintaining the appearance of websites by enforcing content standards.
Designing visual imagery for websites and ensuring that they are in line with branding for clients.
Working with different content management systems.
Communicating design ideas using user flows, process flows, site maps, and wireframes.
Incorporating functionalities and features into websites.
Designing sample pages including colors and fonts.
Preparing design plans and presenting the website structure.",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Freelance Designer redesigning websites for clients, managing projects from initial concept to final delivery within budget and timeframe.
*   Collaborated with clients to conceptualize creative ideas, establish design guidelines, and incorporate functionalities, while ensuring alignment with branding and content standards.
*   Communicated design ideas through mockups, user flows, and site maps, incorporating client feedback throughout testing and improvement phases.
*   Utilized HTML5, CSS3, JavaScript, JQuery, mySQL, and Adobe Design Suite to design visual imagery, sample pages, and website structures, while working with various content management systems.
",1.5747449398040771,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section effectively aligns with the job description by highlighting skills such as conceptualizing creative ideas with clients, establishing design guidelines, incorporating functionalities, ensuring alignment with branding and content standards, communicating design ideas, and working with content management systems.', 'factual_accuracy': 'The improved section accurately reflects the skills and experiences described in the original section, such as redesigning websites, managing projects, collaborating with clients, and utilizing specific technologies. It builds upon the original content without introducing deceptive claims.', 'grammar': 'The improved section demonstrates excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': ""The improved section is concise and well-balanced, providing essential information without being overly verbose. It effectively summarizes the candidate's freelance experience and skills.""}"
9,"Conferring with clients to determine their specific needs.
 Create design concepts and space planning depending on client's needs and budget.
 Drafting and create shop drawings in CAD.
 Monitor instalation process and service.
 Expert at multitasking, handling several projects simultaneously","Candidate will work with clients to ensure successful completion of projects from conception to execution

Requirements:
1. 0 to 2 years of experience in AutoCAD, SketchUp
2. Bachelor's in Interior Design
3. Strong design skills and creativity.

Required Candidate profile

Strong proficiency in AutoCAD, SketchUp, and other relevant software.
Ability to manage multiple projects simultaneously.
Strong attention to detail and problem-solving skills
Flexible working hours",gemini-2.0-flash,gemini,./inference/prompts.yaml,"*   Collaborated with clients to define project requirements and translate them into innovative design concepts and space plans, adhering to budgetary constraints.
*   Utilized AutoCAD to draft detailed shop drawings and provided oversight during the installation process, ensuring projects were completed successfully from conception to execution while managing multiple projects simultaneously.
",0.8641157150268555,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section is well-aligned with the job description, particularly emphasizing project management from conception to execution and the use of AutoCAD, both of which are key requirements. It also highlights the ability to manage multiple projects simultaneously.', 'factual_accuracy': 'The improved section accurately reflects the experiences described in the original section, such as client collaboration, design creation, CAD drafting, installation monitoring, and multitasking. It does not add any deceptive or unsupported claims.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. The language is clear, concise, and professional, enhancing the overall presentation.', 'section_length': 'Optimal'}"
