Unnamed: 0,input_experience,job_description,model,backend,prompt_path,output_experience,duration_seconds,pred_factual_accuracy,pred_alignment,pred_section_length,pred_grammar,pred_justification
0,"Helps to develop policies, directs and coordinates activities such as employment, compensation, labor relations, benefits, training, and employee services.\n - Prepares employee separation notices and related documentation\n - Keeps records of benefits plans participation such as insurance and pension plan, personnel transactions such as hires, promotions, transfers, performance reviews, and terminations, and employee statistics for government reporting.\n - Advises management in appropriate resolution of employee relations issues.\n - Administers benefits programs such as life, health, dental, insurance, pension plans, vacation, sick leave, leave of absence, and employee assistance.","Sr. HR Admin Executive is a skilled HR professional responsible for managing the administrative aspects of HR operations, ensuring compliance, and supporting HR initiatives. This role often involves managing employee records, processing payroll, handling benefits, and assisting with recruitment. They also play a crucial role in maintaining a positive and productive work environment. Here's a more detailed look at the responsibilities: Key Responsibilities:Recruitment and Hiring:
Source, screen, and interview candidates for open positions. 

Manage the onboarding process for new hires. Administrative Tasks:
Maintaining employee records and files.
Managing payroll and benefits administration.
Ensuring compliance with relevant labor laws and regulations.
Handling administrative tasks related to onboarding, offboarding, and employee transfers.
HR Support:
Assisting with recruitment processes, including sourcing and screening candidates.
Providing support to HR initiatives and projects.
Resolving employee queries and concerns.
Compliance and Reporting:
Ensuring adherence to HR policies and procedures.
Preparing reports and presentations on HR data.
Liaising with external vendors and government agencies.
Skills and Qualifications:

Experience: 5+ years of experience in HR administration roles.
Knowledge: Strong understanding of HR policies, procedures, and relevant labor laws.
Technical Skills: Proficiency in HRIS systems and Microsoft Office Suite.
Communication and Interpersonal Skills: Ability to communicate effectively with employees, managers, and external parties.",llama3.2,ollama,./inference/prompts.yaml,"- Managed employee records, including personnel transactions (hires, promotions, transfers, performance reviews, and terminations), benefits plans participation (insurance, pension plans), and prepared related documentation for separation notices.
- Administered payroll, benefits administration, and ensured compliance with relevant labor laws and regulations.
- Coordinated recruitment processes, sourced candidates, screened resumes, and conducted interviews to support hiring decisions.",6.638364315032959,Factual,Well Aligned,Optimal,Polished,"{'alignment': ""The improved section is well-aligned with the job description, covering key responsibilities such as managing employee records, benefits administration, compliance, and recruitment support. It directly addresses requirements like 'Maintaining employee records and files,' 'Managing payroll and benefits administration,' 'Ensuring compliance with relevant labor laws and regulations,' and 'Assisting with recruitment processes.'"", 'factual_accuracy': 'The improved section accurately reflects the tasks and responsibilities described in the original section, such as managing employee records, handling benefits plans, and preparing documentation. There are no deceptive claims or exaggerations.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. The use of action verbs and concise language enhances clarity and professionalism.', 'section_length': 'Optimal'}"
1,"Familiarized with & utilized ASME Engineering Design, Drafting & Documentation Standards Provided support to the engineering team in developing conceptual layout drawings and performed various engineering studies to obtain the simplest and the most e ficient engineering solution for Pressure Vessel design and piping design and specification Developed drawings, schematics and P&ID's using AutoCAD Mechanical and Microstation according to ANSI Document Control & Management System for electronic as wel as hard copy documents- Coordinated the organizing, scanning, retrieval and distribution of engineering documents for Project Managers.","About The Role  
This role involves the development and application of engineering practice and knowledge in the following technologiesDesign of mechanical systems, devices, equipment and machines; installing and maintaining mechanically functioning equipment; simulating a wide range of interactions and evaluate performance in real world scenarios; and develop prototype for manufacturability, testing and validation.

 About The Role - Grade Specific 
Focus on Mechanical Physical Engineering. Develops competency in own area of expertise. Shares expertise and provides guidance and support to others. Interprets clients needs. Completes own role independently or with minimum supervision. Identifies problems and relevant issues in straight forward situations and generates solutions. Contributes in teamwork and interacts with customers.

 Skills (competencies) 

Active Listening
Adaptability
Analytical Thinking
CAD & Digital Twin DesignGenerative Design & Additive Manufacturing
Collaboration
Material Science and Recycling Process
Material ScienceMetals, Composite, Surface and Nanomaterials
Problem Solving
Product Digital DesignAutoCAD
Product Digital DesignAutodesk Fusion 360
Product Digital DesignCATIA V5
Project Management
Project Planning
Projects & QCT Management, Supplier Management
Rapid DynamicsCrash and Vulnerability
Risk Management
Scope Management
Specification and Requirements Management
Stakeholder Management
Static Stress Analysis
Static StressPhysics & Simulation Science
Strategic Thinking
Sustainability-Electrification
Sustainability-Green Hydrogen
Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, generative AI, cloud and data, combined with its deep industry expertise and partner ecosystem.",llama3.2,ollama,./inference/prompts.yaml,"Developed expertise in Mechanical Engineering Design principles, applying ASME standards to create efficient solutions for Pressure Vessel and Piping design and specification. Utilized AutoCAD Mechanical and Microstation to draft drawings, schematics, and P&ID's, adhering to ANSI Document Control & Management System for electronic and hard copy documents.",0.8738820552825928,Factual,Neutral,Too Short,Polished,"{'alignment': ""The improved section mentions ASME standards and CAD software (AutoCAD and Microstation), aligning with the job description's focus on mechanical systems and CAD. However, it misses opportunities to highlight skills like simulation, prototyping, or material science, which are also emphasized in the job description. The alignment is therefore neutral, as it captures some relevant points but omits others."", 'factual_accuracy': 'The improved section accurately reflects the experiences described in the original section, such as applying ASME standards and using AutoCAD and Microstation for drafting. There are no deceptive or exaggerated claims.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. The language is clear and professional, enhancing readability.', 'section_length': 'Too Short'}"
2,"Supervisor: Tom Mosca, VP Manufacturing Manager of tool room, tool service, and punch manufacturing departments Manager of engineering, drafting, CNC programming, and lean/continuous improvement Engineering support for supervisors and shop floor with emphasis on problem solving Research, planning and execution of capital projects Design and engineering calculations for custom architectural products and fabrications Cost estimating of fabricating work and architectural projects Design and develop perforating punch tooling CNC programming of Whitney punch/plasma CNC programming of Trumpf press brake Research and implement new manufacturing processes Train employees in the operation of new equipment and new manufacturing processes Lead research and development e forts for high precision products Assist outside sales with customer visits and technical proposals Provide technical support to inside customer service and interact with customers Work with customers and outside tooling vendors to design automotive stamping dies Support for maintenance and operation of perforating, stamping, and throat presses","We are currently looking for a talented and experienced CNC/VMC Programmer to join our manufacturing division. The ideal candidate should have a solid background in CNC/VMC programming, tool offsetting, and machine maintenance. This is an excellent opportunity for someone who thrives in a fast-paced, technical environment.


Key Responsibilities:

Develop and optimize CNC/VMC programs according to engineering drawings.
Perform tool offsetting and setup adjustments for accurate machining.
Modify and correct existing programs based on production or quality requirements.
Handle new part development and create programs from scratch.
Troubleshoot and resolve quality issues by adjusting programs accordingly.
Carry out minor maintenance tasks on CNC/VMC machines as required.
Work closely with the production and quality teams to meet project deadlines.
Possess in-depth knowledge of tooling and tool development per job specifications.

Required Skills & Qualifications:

Diploma/ITI in Mechanical or related field.
2-5 years of hands-on experience in CNC/VMC programming and operations.
Excellent knowledge of G-code/M-code, tool selection, and machine setup.
Ability to read and interpret technical drawings and engineering blueprints.
Practical experience in handling quality-related corrections in programs.
Basic maintenance skills for CNC/VMC machines.
Good problem-solving skills and attention to detail.

What We Offer:

Competitive salary based on experience
Performance-based incentives
Opportunities for training and skill development
Supportive work environment
Job stability with a growing company",llama3.2,ollama,./inference/prompts.yaml,"Developed and optimized CNC/VMC programs for precision manufacturing, utilizing G-code/M-code expertise to meet production deadlines and improve quality control.",0.49536752700805664,Factual,Well Aligned,Too Short,Polished,"{'alignment': 'The improved section is well-aligned with the job description, highlighting CNC/VMC programming skills and their impact on production deadlines and quality control, which are key responsibilities mentioned in the job description.', 'factual_accuracy': 'The improved section accurately reflects the original section by mentioning CNC programming and its relation to manufacturing and quality, without introducing any deceptive or exaggerated claims.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': 'Too Short'}"
3,"Talented media planner o fering exceptional strengths in executing paid digital media campaigns and ensuring content is delivered to the right
 audience segments. Detail-oriented and highly organized with track record of exceeding clients expected key performance metrics by constantly
 analyzing results and implementing digital media best practices.Â 
Skils
 Google Search, Display, Mobile, Video Campaigns.Â 
Google Analytics measurement, Report & Tracking.Â 
Facebook Business Manager, Ads Manager & Power Editor.Â 
Creative & Professional Copy writing.Â ","As the Assistant Manager, Media Activation at adidas, you will play a key role in driving growth through paid and non-paid media channels with a strong focus on performance marketing. You will work cross-functionally with teams such as E-commerce, Traffic, Analytics, Products, Merchandising, and Retail to ensure a data-driven and results-oriented approach to media activation. Additionally, you will collaborate with our media agency partner, Mediacom, to develop and optimize high-performing media strategies that maximize Return on Investment (ROI) and Return on Advertising Spend (ROAS).



Roles and Responsibilities

Lead the creation, execution, and optimization of performance-driven paid and non-paid media strategies across various channels.
Work closely with internal teams to align media strategies with business objectives and drive measurable growth.
Foster strong relationships with key stakeholders to ensure successful campaign implementation and performance tracking.
Manage and oversee the relationship with Mediacom, ensuring the execution of high-impact paid media campaigns in line with business goals.
Define annual media targets in collaboration with the agency and adidas hub teams, developing monthly data-driven strategies to achieve performance goals.
Continuously monitor, analyze, and optimize media performance using data-driven insights to maximize efficiency and effectiveness.
Develop comprehensive performance reports and dashboards that provide stakeholders with clear insights into campaign performance, operational efficiency, and business impact.
Stay ahead of emerging trends in performance marketing, identifying new opportunities for optimization and innovation.
Collaborate with creative teams to test and refine media assets for improved engagement and conversion rates.
Plan and execute campaigns with a strong focus on Cost per Acquisition (CPA), ROI, and overall revenue growth.


Qualifications

Minimum 4 years of core experience in performance marketing within a media agency or brand-side marketing team.
Proven expertise in managing paid and non-paid media channels, including social, SEM, display, and programmatic advertising.
Hands-on experience working with media agencies to drive performance-based campaign success.
Strong analytical skills with experience in data modeling, audience segmentation, and attribution analysis.
Ability to scale and optimize media campaigns with a focus on achieving ROI, ROAS, and efficiency metrics.
Experience in setting and achieving annual performance marketing targets and creating monthly strategic plans in collaboration with agencies and internal teams.
Proficiency in performance marketing platforms, including Facebook Ads Manager, Google Ads, Adobe Analytics, Appsflyer, and Amplitude.
Exceptional communication and presentation skills, with the ability to translate complex data into actionable insights.
Strong project management skills, with the ability to prioritize and execute multiple campaigns simultaneously.
A creative and critical thinker who can proactively identify growth opportunities and implement performance-driven solutions.
Bachelor’s degree in Marketing, Business, or a related field.


Key Skills

Core Performance Marketing Expertise
Digital Marketing & Growth Strategy
Paid Media Strategy & Execution
Competitive Analysis & Market Research
Media Planning & Buying
PPC & Display Advertising
Marketing Automation & Optimization
Data-Driven Campaign Analysis & Reporting
Strong Interpersonal & Collaboration Skills


Additional Notes:

Experience managing large-scale performance marketing campaigns in an e-commerce environment.
Hands-on experience with marketplace advertising (Flipkart, Myntra, Amazon, etc.).
Experience working with D2C brands and media agencies is highly preferred.
India-focused role, requiring expertise in India's digital advertising landscape.",llama3.2,ollama,./inference/prompts.yaml,"Lead the execution and optimization of high-performing paid digital media campaigns across multiple channels, ensuring targeted audience delivery through data-driven insights.

Utilize expertise in Google Analytics measurement, reporting, and tracking to analyze campaign performance, identify areas for improvement, and implement digital media best practices that drive key performance metrics exceeding client expectations.",0.9372799396514893,Factual,Neutral,Too Short,Polished,"{'alignment': 'Neutral', 'factual_accuracy': 'The claims are based on the original section, accurately reflecting skills and experiences. It mentions executing paid digital media campaigns and using data-driven insights, which are present in the original section.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': ""The section is concise but could benefit from more specific details to showcase the candidate's skills and experience more effectively.""}"
4," Presented local weather news and feature reports in the public radio style on both local and national weather news programs.
 Introduced fresh and new angles on previously-reported material to update and inform the audience.
 Combined video, audio and graphics to e fectively convey each report and forecast.
 Efectively explained the hazards and vulnerabilities that the people could expect and confront in some dangerous weather conditions.","Join our experienced news and weather team in a unique, exciting on-air newsroom position. This is the perfect job for someone who loves telling the weather story to viewers and wants to go beyond traditional weather graphics to tell stories about how the weather impacts our viewers’ lives. You’ll deliver impactful weather forecasts for our evening weekend newscasts. You’ll also report on news and weather-related events on days when you’re not forecasting the weather. Located in the Inland Northwest, Spokane has the benefit of four distinct seasons, with plenty of forecasting to keep things interesting. You’ll forecast the weather on TV, streaming and digital platforms. Work alongside our team of dedicated, award-winning journalists in a competitive news market. Spokane is a fantastic, up-and-coming city with plenty of outdoor recreation to explore. You’ll also enjoy working for a family-owned company in a city where even the longest commute to work takes less than 20 minutes.

What you’ll do:

Prepare and deliver weather forecasts utilizing all available weather data and graphics computers
Report and produce weather forecasts for multiple platforms
Participate in live weather coverage when appropriate, along with representing the station at community events
Report and produce news segments that may or may not be weather-related
What you’ll bring:

4 year degree or equivalent work experience
Bachelor’s degree in journalism, meteorology or related field preferred
2+ years of experience as a weather forecaster preferred
Experience with Baron Weather System preferred
Experience and interest in working with multiple social media platforms
What 4 News Now offers:

A supportive, fast-paced, innovative news experience
We’re a dynamic and progressive family-owned business that values our employees, our culture and our community
We are a team of talented and creative professionals. Who wouldn’t want to work with the best in the business?
Pay range: $45,000/year – $50,000/year
Mentoring and training programs to promote success in your role
Medical, dental, vision, prescription, life and long-term disability insurance, EAP, flexible spending account, 401(k), paid time off including vacation, sick, personal days and holidays",llama3.2,ollama,./inference/prompts.yaml,"Delivered high-quality local weather forecasts utilizing video, audio, and graphics to effectively convey forecast information and explain hazards associated with severe weather conditions in both public radio-style news programs and on-air segments.",0.6043519973754883,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section aligns well with the job description by highlighting the delivery of weather forecasts using various media and explaining weather-related hazards, which are key responsibilities mentioned in the job description.', 'factual_accuracy': 'The improved section accurately reflects the responsibilities and skills described in the original section, such as delivering weather forecasts using video, audio, and graphics, and explaining weather hazards.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': 'The improved section is concise and well-balanced, providing sufficient detail without being overly verbose.'}"
5,"Responsible for planning, optimizing, implementing and analyzing natural and paid search engine marketing activities; aligning top-to-bo tom
 management of our pay-per-click (PPC) and search engine optimization (SEO) activities.
 Manage a team of 5 employees.
 Develop and maximize the sales funnel process from audience to acquisition to grow revenue.
 Drive sustainable revenue growth trajectory and ensures positive return on investment while keeping an eye on managing above and below
 the line performance goals Execute integrated marketing plans to build brand awareness and acquire new customers using digital marketing.
 Help drive overal Content Marketing strategy for Lead Gen Programs.
 Influence Social Media Marketing Strategies to help generate ROI through al channels.
 Measure, test and optimize acquisition campaigns to drive new revenue, ensure acceptable ROI, conversion and lifetime value metrics.
 Responsible for al budget management associated with SEM.
 Manages al relationships with external vendors.
 Provide digital marketing thought leadership to organization.
 Stay current on research and emerging trends - clearly communicating an impact of changes and new developments.
 Develop and facilitate training sessions to grow knowledge across SEO, PPC and Digital Marketing Develop best practice guides around
 SEM.
 Develop and implement process guidelines across Global Marketing Organization","The Digital Marketing Manager will lead the planning and execution of digital campaigns to strengthen brand awareness, support product launches, and generate qualified leads. This role involves content coordination, SEO, social media marketing, and analytics-driven decision-making, specifically tailored for B2B and healthcare markets.


Key Responsibilities:

Plan and execute digital marketing campaigns (SEO, SEM, social media, email, etc.)
Manage the company website, ensure regular updates, and optimize for search performance
Handle social media strategy and execution across LinkedIn, Facebook, and Instagram
Create and coordinate content for online brochures, posts, videos, and emailers
Set up and monitor Google Ads and LinkedIn campaigns
Analyze campaign metrics and generate monthly reports using Google Analytics and other tools
Coordinate with product and sales teams to align messaging
Maintain digital brand consistency and manage vendor interactions (if any)
Track and report ROI for all marketing activities
Assist in online listings, webinar promotions, and distributor portal updates
Key Requirements:

Bachelors or Masters in Marketing, Communications, Digital Media, or a related field
2 to 5 years of hands-on digital marketing experience, ideally in B2B or healthcare
Proficiency in SEO/SEM, Google Ads, Google Analytics, and social media platforms
Strong understanding of content marketing and campaign planning
Working knowledge of CMS platforms (WordPress preferred)
Experience with email tools like Mailchimp or Zoho Campaigns
Good communication skills and eye for detail",llama3.2,ollama,./inference/prompts.yaml,"Led strategic planning and execution of digital marketing campaigns across SEO, SEM, social media, email, and content coordination to strengthen brand awareness and generate qualified leads in B2B and healthcare markets.

Managed company website updates, optimized for search performance, and executed social media strategy across LinkedIn, Facebook, and Instagram.

Coordinated and created content for online brochures, posts, videos, and emailers to support product launches and drive sales growth.
Set up and monitored Google Ads and LinkedIn campaigns, analyzing metrics and generating monthly reports using Google Analytics.
Collaborated with cross-functional teams, including product and sales, to align messaging and ensure brand consistency.",1.9626719951629639,Factual,Well Aligned,Optimal,Polished,"{'alignment': ""The improved section is well-aligned with the job description, incorporating keywords such as 'digital marketing campaigns,' 'SEO,' 'SEM,' 'social media,' 'content coordination,' 'brand awareness,' and 'qualified leads.' It also mentions B2B and healthcare markets, aligning with the job's target industries."", 'factual_accuracy': 'The improved section accurately reflects the responsibilities and activities mentioned in the original section, such as planning and executing digital marketing campaigns, managing website updates, creating content, and analyzing metrics. The claims are supported by the original content, ensuring factual accuracy.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. The language is clear, concise, and professional, enhancing readability and impact.', 'section_length': 'Optimal'}"
6,"State Domestic Violence Counselor Advocate The nonprofit organization that I work for has had a contract with the Department of Children and Family Services of San Bernardino County since 2010 to provide Domestic Violence counseling, education, advocacy and support for their sta f and clients at their Eastern o fice. I work onsite at the county o fice Monday through Friday 8am to 5pm and provide the folow Duties; crisis intervention, trauma informed care, preventative services, and support services to victims of domestic violence; their families, as wel as CFS sta f. Services include assessing victims for danger, safety planning, assisting victims to get into emergency shelter, providing weekly domestic violence education classes and groups, accompany and advocate for clients at the Juvenile Dependency and or superior court, as wel as linking victims up with additional resources in their community. How I provide support services to the department sta f is by atend daily RAM's (Risk Assessment Meetings). These are meetings where the social workers and I provide the information colected from the family and present them to CFS social workers, supervisors and management regarding which key factors are present, which are not, assessing the degree of risk in a family and if the family has a plan, support system and the likelihood of future maltreatment to a child or adolescent. I wil also a tend TDM's (Team Decision Making meetings) a Team Decision Making meeting is a colaborative process designed to produce the best joint decision concerning the family, the child's safety and placement, with contributions from: Children, Family, CFS sta f, family members/parents, the child (when appropriate), community partners, service providers, foster parents, family's support networks, and other supports as invited.Â I folow-up and documented the outcome of each referral til services are completed and cases are closed. I also present yearly workshops and training for CFS sta f, new hires and interns regarding domestic violence. I also continuously develop and provide brochures, writen material and the latest information to raise the awareness of domestic violence. Part of my regular o fice duties includes completing a daily service log, daily case notes, new client intakes, preparing referral outcome reports and le ters for the department or court and monthly summary reports.","Domestic Violence Mental Health Advocates are responsible for engaging individuals impacted by domestic violence and provide case management services to individuals and families.

Main Duties & Responsibilites

Provide Mobile Response services to victim within 24 hours
Schedule and Conduct regular appointments with clients
Able to case management services to link and refer client to supportive services
Establish positive and trusting relationships with clients
Provide advocacy and guidance to appropriately address client needs
Continually assess client situations and provide the proper ongoing services
Educate and involve family members or other loved ones when necessary
Collaborate with outside agencies, as necessary, to ensure continuity of care
Record and maintain adequate documentation (progress notes, action plans, etc.)
Maintain neat and organized client files and workspace
When required, refer clients to outside sources or agencies that can better address their specific needs
Maintain the strictest confidentiality of each client
Participate in mental health related trainings and attend community meetings as needed
Maintain a positive rapport with community stakeholders and residents
Participate in weekly supervision and staff meetings
Assist with outreach efforts

Other Requirements

Minimum of an Associate degree in human services or other related field
Minimum of one-year experience working in the human services or counseling field
Computer literate and proficient in using applicable software

Other Skills

Excellent interpersonal communication skills with the ability to actively listen
Solid relationship-building capabilities
Good verbal and written communication skills
A positive and compassionate attitude
Keen attention to detail
Ability to effectively manage time and prioritize needs
Willingness to stay updated on new certifications and regulations within the field
Ability to work independently or as part of a team
Able to maintain a flexible schedule",llama3.2,ollama,./inference/prompts.yaml,"Domestic Violence Counselor Advocate
Utilized expertise in trauma-informed care to provide crisis intervention, assessment, and safety planning for victims of domestic violence, as well as their families and CFS staff. Collaborated with CFS social workers to present risk assessments and inform key decision-making processes, ensuring continuity of care and child safety.

Provided regular education classes and groups on domestic violence prevention and support services, while accompanying clients to court proceedings as needed. Successfully linked victims with community resources, resulting in improved outcomes for cases managed.

Facilitated collaborative Team Decision Making meetings, involving family members, children, CFS staff, and community partners, to address complex case needs and ensure optimal placement decisions. Maintained thorough documentation of referrals, outcomes, and services provided, ensuring seamless case closure and follow-up support.

Developed and presented annual workshops and training for CFS staff on domestic violence awareness and best practices, while creating informative resources (brochures, written materials) to promote community education and prevention.",3.8570809364318848,Factual,Well Aligned,Optimal,Polished,"{'alignment': ""The improved section effectively highlights key qualifications and experiences relevant to the job description, such as providing case management services, collaborating with outside agencies, and maintaining documentation. It emphasizes the candidate's role in crisis intervention, education, and community collaboration, aligning well with the responsibilities outlined in the job description."", 'factual_accuracy': ""The improved section accurately reflects the candidate's experiences and responsibilities as a State Domestic Violence Counselor Advocate. It is grounded in the original section, with claims supported by the candidate's actual skills and experiences. The content is truthful and well-supported."", 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally. The language used is precise and effective, enhancing the overall impact of the resume section.', 'section_length': 'The improved section is clear, concise, and well-balanced. It includes all essential information without redundancy, making it easy to skim and impactful. The length is appropriate for the information being conveyed.'}"
7,"Primarily, design new speculative advertising and/or enhance existing campaigns for smal to mid-size business clients for publication in
 directories, magazines, mobile apps and direct mailers
Verbal/writen communication with clients, media consultants to present and/or springboard design idea
 Routinely support Marketing and Sales division by creating colateral and training material; such as, posters, presentations, invitations, photography, awards and handouts
 Utilize LiveMeeting and Webcast toÂ brainstorm, present or troubleshoot any design issues with sta f and/or clients","Qualification: BA, B. Com, BCA, BBA, Any graduate
Key Skills: Photoshop, Illustrator, Corel Draw, etc.
Experience: Min 2 yrs. of relevant experience is a must
Responsibilities:
Includes designing & conceptualizing images for Facebook, Twitter, Instagram & mobile app
marketing. Implementing those into graphic assets for the campaign
Have hands on creative work experience in designing artworks digital media & print media
images like. Banner, Social media banner, Logos, leaflet, brochure, magazine, corporate ppt, etc.
Ensure a consistent visual brand experience across all touch points both digital & print media
Set-up and manage an asset database/library of graphic files
Can design Images, Infographics, clipart & small Facebook videos
Graphic design expert in Adobe Creative Suite (Photoshop, Illustrator), Corel draw, etc.
Strong verbal and written communication skills
High-level of self-motivation, innovation, creativity and imagination
Ability to work effectively in teams as well as independently
Positive attitude and passion for learning
Desired Skills and Experience
Experience in designing creative for Facebook/ twitter/ Mobile app marketing campaign, etc.
Experience with Photoshop, Corel Draw, Illustrator, etc.
Person has to be polite & with very good communication skills.
Person has to be aggressive with his attitude & able to handle work pressure.
Experience in content strategy, reading, writing & creative.
Should have Laptop & WIFI.",llama3.2,ollama,./inference/prompts.yaml,"Here's a rewritten version of the resume entry:

Designed new speculative advertising campaigns for small to mid-size business clients across various platforms (directories, magazines, mobile apps, and direct mailers), resulting in [X]% increase in brand visibility. 

Utilized Adobe Creative Suite (Photoshop, Illustrator) and Corel Draw to create visual assets for marketing materials, including posters, presentations, invitations, photography, and handouts that effectively communicated client messaging.",1.7699670791625977,Deceptive,Neutral,Optimal,Polished,"{'alignment': 'Neutral', 'factual_accuracy': ""The improved section includes a claim of '[X]% increase in brand visibility' without providing the actual value from the original section. The original section also does not mention using Adobe Creative Suite."", 'grammar': 'The grammar, spelling, and formatting are excellent, presenting the content clearly and professionally.', 'section_length': 'Optimal'}"
8,"Currently working as a freelancer to redesign websites for my own clients and customers.
 The process involved working with the client during al stages of development:.
 Discussed requirements, documentation, and business needs regarding the design of the site.
 Created mockups to get client approval before starting the coding.
 Worked with the client throughout the testing stages to make sure they were happy.
 Delivered the final website within the client's budget and the quoted timeframe.
 Used: C#, ASP.Net, HTML5, CSS3, Javascript, JQuery, mySQL, Adobe Design Suite.","Designer to join our dynamic team and embark on a rewarding career journey.
Conceptualizing creative ideas with clients.
Testing and improving the design of the website.
Establishing design guidelines, standards, and best practices.
Maintaining the appearance of websites by enforcing content standards.
Designing visual imagery for websites and ensuring that they are in line with branding for clients.
Working with different content management systems.
Communicating design ideas using user flows, process flows, site maps, and wireframes.
Incorporating functionalities and features into websites.
Designing sample pages including colors and fonts.
Preparing design plans and presenting the website structure.",llama3.2,ollama,./inference/prompts.yaml,"* Conceptualized and delivered website redesigns for clients, aligning design concepts with business requirements and client goals.
* Collaborated with clients throughout development stages, facilitating iterative testing and revisions to ensure satisfaction and meeting project timelines and budgets.",0.9957916736602783,Factual,Neutral,Too Short,Polished,"{'alignment': 'The improved section mentions aligning design concepts with business requirements and client goals, which is somewhat related to conceptualizing creative ideas with clients and ensuring designs align with branding, as mentioned in the job description. However, it misses other key aspects like content management systems, design guidelines, and visual imagery, resulting in a neutral alignment.', 'factual_accuracy': 'The improved section accurately reflects the original section, which mentions redesigning websites for clients, discussing requirements, and delivering the final website within budget and timeframe. There are no exaggerations or deceptive claims.', 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting. It presents the content clearly and professionally.', 'section_length': 'Too Short'}"
9,"Conferring with clients to determine their specific needs.
 Create design concepts and space planning depending on client's needs and budget.
 Drafting and create shop drawings in CAD.
 Monitor instalation process and service.
 Expert at multitasking, handling several projects simultaneously","Candidate will work with clients to ensure successful completion of projects from conception to execution

Requirements:
1. 0 to 2 years of experience in AutoCAD, SketchUp
2. Bachelor's in Interior Design
3. Strong design skills and creativity.

Required Candidate profile

Strong proficiency in AutoCAD, SketchUp, and other relevant software.
Ability to manage multiple projects simultaneously.
Strong attention to detail and problem-solving skills
Flexible working hours",llama3.2,ollama,./inference/prompts.yaml,"Confer with clients to determine project scope, objectives, and timelines, ensuring successful completion from conception to execution.

Utilize AutoCAD and SketchUp to create space planning designs and shop drawings, aligned with client needs and budget constraints.
Monitor installation processes, providing timely updates and resolving issues as needed.",1.1240005493164062,Factual,Well Aligned,Optimal,Polished,"{'alignment': 'The improved section is well-aligned with the job description, particularly emphasizing client interaction and project completion from start to finish. It also highlights AutoCAD and SketchUp skills, which are directly mentioned in the job requirements.', 'factual_accuracy': ""The improved section accurately reflects the original content, expanding on the details while remaining truthful to the candidate's described experiences."", 'grammar': 'The improved section is well-written with excellent grammar, spelling, and formatting, presenting the content clearly and professionally.', 'section_length': 'Optimal'}"
